,pass_count,prev_ball_zone,zone_get_possesion,bet_cen_A,bet_cen_B,entropy_A,entropy_B,pA_z1,pA_z2,pA_z3,pA_z4,pA_z5,pA_z6,pA_z7,pA_z8,pA_z9,pA_z10,pA_z11,pA_z12,pB_z1,pB_z2,pB_z3,pB_z4,pB_z5,pB_z6,pB_z7,pB_z8,pB_z9,pB_z10,pB_z11,pB_z12,tA_ball_poss,tB_ball_poss,danger_zone,AZ1,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,AZ8,AZ9,AZ10,AZ11,AZ12,BZ1,BZ2,BZ3,BZ4,BZ5,BZ6,BZ7,BZ8,BZ9,BZ10,BZ11,BZ12
30,9,5.0,9.0,0.07474747474747474,0.09292929292929292,2.150717306465047,2.0047782715544753,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0.6256459948320413,0.37435400516795864,0,0.0,6.056216720380663,0.0,0.0,55.40290048361574,68.4607040466138,0.0,17.5876283432804,36.96291216514224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.298379874939172,19.435032191060174,8.477302968126223,7.698335678476701,28.271352260940915,8.756936471506767,2.6911320465425344,0.0
31,8,8.0,9.0,0.07272727272727274,0.10909090909090909,1.7272458565462592,1.4779294232534406,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.630891719745223,0.36910828025477704,0,0.0,6.057517355438531,0.0,0.0,35.39482157510632,68.34910345187515,0.0,38.110404807570134,36.47962187379906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.098133987256064,19.190377834413713,8.629088375689268,16.15810207124886,28.37520870730168,8.851568033279017,2.7778133374504574,0.0
32,9,9.0,9.0,0.08282828282828282,0.10909090909090911,2.0406026745929657,1.7482424975784108,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0.6326465927099841,0.36735340729001587,0,0.0,6.075304625022476,0.0,0.0,54.55961230798939,49.09200883642599,0.0,38.43402799155844,36.404352182642675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.077532839380522,19.062266825149067,8.73669178382102,27.28583326397385,17.461604825860682,8.871061205980197,2.8093654252616775,0.0
33,10,8.0,8.0,0.07676767676767676,0.08282828282828282,1.6591591415694777,1.5731371274457295,1,0,0,0,0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,2,0,1,1,0,0.6372121966397013,0.3627878033602987,0,0.0,6.1393701546000194,0.0,0.0,54.72190187450701,32.23039295691919,0.0,55.939659561700765,36.41732523004071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.875734700678363,18.6613765824794,0.0,37.13509229390982,17.665690551174862,8.943189590728963,2.873507670334812,0.0
34,10,11.0,11.0,0.06464646464646465,0.10505050505050505,1.8124615436733194,1.4854919566361149,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0.6043859649122807,0.3956140350877193,0,0.0,6.156228838179833,0.0,0.0,71.5545873095261,15.249571456402117,0.0,55.34768478939741,19.18680389297833,0.0,18.44384176794704,0.0,0.0,0.0,0.0,0.0,9.564259495689932,18.169587022456707,0.0,20.095014746314362,0.0,9.177840590514247,30.336706920013825,9.700000859571198
35,10,8.0,11.0,0.08282828282828282,0.10505050505050506,2.072401876702116,1.842141095628635,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0.6097490625901356,0.39025093740986444,0,0.0,6.1690473307068965,0.0,0.0,71.8191874089584,15.318993295433579,0.0,74.13482442088001,19.178471548419825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58289947242137,18.218539645587242,0.0,20.05321368958434,0.0,9.184260656269705,30.532964098855388,9.680818928166122
36,6,5.0,5.0,0.07474747474747476,0.06666666666666667,1.723498231963331,1.8108827885079473,1,1,0,0,2,1,0,0,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0.5695399259650978,0.43046007403490216,0,38.11006687007555,40.384578690703165,0.0,0.0,60.32777610249609,19.541048993858947,19.73732148610027,16.686505270646013,0.0,0.0,0.0,0.0,10.167935767717909,17.922991827351677,0.0,0.0,30.92948339302914,0.0,10.353680467331156,17.34840655377375,9.564922989861147,0.0,3.8854622595703345,0.0
37,5,2.0,5.0,0.08282828282828282,0.08686868686868689,2.0955995674159436,2.067097463729131,2,2,0,0,2,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0.5604996096799375,0.43950039032006244,0,19.907887752633194,77.98690054827544,0.0,0.0,40.78081992912438,19.804383571695787,0.0,16.739499097251134,0.0,20.098097934939,0.0,0.0,9.951640478638566,27.912741691406666,0.0,0.0,20.725626040479916,0.0,0.0,17.503515881576753,9.60161635144761,10.614784974308332,3.9772406382022742,0.0
38,2,1.0,5.0,0.06868686868686869,0.05656565656565657,1.8082888939814319,1.458009893718792,2,3,1,0,1,0,0,0,0,0,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0.4570337364735837,0.5429662635264163,0,52.24762530461503,89.28685967092335,0.0,0.0,13.759853032780562,15.23085482024942,0.0,0.0,0.0,0.0,0.0,0.0,16.21489429863747,45.549656186246764,0.0,0.0,7.681890424141993,8.557574531955096,0.0,0.0,0.0,7.9549290261547,3.6865437865982895,0.0
39,3,2.0,2.0,0.09090909090909091,0.17171717171717174,2.04741097887069,1.5360129865350949,2,3,2,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0.4540158135663754,0.5459841864336247,0,14.740884259518134,126.41797339833822,0.0,0.0,13.608565666645418,15.031201024152882,0.0,0.0,0.0,0.0,0.0,0.0,8.685390079189625,53.001798523169434,0.0,0.0,15.50323230078363,8.51835304980823,0.0,0.0,0.0,0.0,3.7360800670355476,0.0
