,zone_get_possesion,bet_cen_A,bet_cen_B,entropy_A,entropy_B,pA_z1,pA_z2,pA_z3,pA_z4,pA_z5,pA_z6,pA_z7,pA_z8,pA_z9,pA_z10,pA_z11,pA_z12,pB_z1,pB_z2,pB_z3,pB_z4,pB_z5,pB_z6,pB_z7,pB_z8,pB_z9,pB_z10,pB_z11,pB_z12,danger_zone,pass_count_A,pass_count_B,tA_ball_poss,tB_ball_poss,AZ-1,AZ1,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,AZ8,AZ9,AZ10,AZ11,AZ12,BZ-1,BZ1,BZ2,BZ3,BZ4,BZ5,BZ6,BZ7,BZ8,BZ9,BZ10,BZ11,BZ12
95,10,0.06464646464646465,0.06666666666666667,1.8592023214703248,1.729444910800951,0,3,3,0,1,2,0,0,0,1,1,0,0,2,1,0,4,1,0,0,0,3,0,0,1.0,0,1,0.5554708449445291,0.44452915505547086,0.0,0.0,3.058864995180724,4.8591531831325305,0.0,1.8148997566265055,4.151439426506025,0.0,0.0,0.0,0.8278879084337355,0.1197316048192772,0.0,0.0,0.0,0.5605849373493971,0.6806822530120478,0.0,3.020722395180722,0.8358076554216862,0.0,0.0,0.0,3.589108915662651,0.0,0.0
96,10,0.10303030303030303,0.08282828282828283,1.8887398344493846,2.12365417301763,0,1,0,0,3,2,0,2,0,2,1,0,0,5,4,0,1,1,0,0,0,0,0,0,0.0,1,0,0.4447918856422115,0.5552081143577885,0.0,0.0,0.4662032385542169,0.0,0.0,3.564581587951806,7.232355318072292,0.0,5.005779007228914,0.0,3.546849390361446,0.3670181927710843,0.0,0.0,0.0,8.479125860240963,5.597361281927709,0.0,0.9873193662650606,0.938294754216868,0.0,0.0,0.0,0.0,0.0,0.0
97,2,0.08282828282828282,0.06262626262626264,2.0948348221740667,2.2572811400403947,0,1,1,0,2,2,0,1,1,2,1,0,0,1,0,0,3,2,1,2,0,0,2,0,0.0,0,1,0.5605088926392314,0.4394911073607686,0.0,0.0,0.3932071734939761,0.14304367951807223,0.0,1.4244001590361448,0.5462132602409636,0.0,0.22054910602409647,0.48630881927710873,3.768878559036143,0.03487303373493951,0.0,0.0,0.0,0.20494314216867446,0.0,0.0,4.154715057831326,1.6436542915662662,0.2899738771084338,0.8333999638554224,0.0,0.0,0.8779605325301196,0.0
98,3,0.0707070707070707,0.09696969696969694,2.1963135703505223,1.9620763434065873,0,1,1,0,1,2,0,2,0,3,1,0,0,3,1,0,2,2,0,1,0,2,0,0,0.0,1,0,0.44015974689453075,0.5598402531054693,0.0,0.0,0.31947103373493996,0.08131848433734928,0.0,0.32330818554216856,2.045291327710842,0.0,0.29061271807228894,0.0,2.433208272289155,0.09680253253012053,0.0,0.0,0.0,0.4626635927710847,4.020837607228919,0.0,0.6626770192771083,1.1411257807228914,0.0,0.26055727951807195,0.0,0.7567912337349394,0.0,0.0
99,3,0.09292929292929292,0.11313131313131314,1.9825498234490404,1.8801336758659533,0,2,2,0,2,3,0,0,0,1,1,0,0,3,1,0,2,1,0,0,0,4,0,0,0.0,0,1,0.5929052838606002,0.40709471613939985,0.0,0.0,2.0029705012048193,3.915387383132531,0.0,0.24977361686747002,1.8401289759036148,0.0,0.0,0.0,1.5603877590361441,0.012992493975903584,0.0,0.0,0.0,0.3884722120481928,1.9403777855421678,0.0,0.6818038409638558,0.1101428024096382,0.0,0.0,0.0,2.448638371084337,0.0,0.0
100,3,0.10707070707070708,0.09292929292929292,1.908321176547966,1.9825498234490404,1,2,1,0,3,2,0,0,0,1,1,0,0,4,5,0,1,1,0,0,0,0,0,0,0.0,1,0,0.4071800282980407,0.5928199717019593,0.0,1.0474070746987967,2.686005,0.1533267325301203,0.0,0.8089998072289157,0.25084974939759064,0.0,0.0,0.0,2.659344267469881,0.0725515373493976,0.0,0.0,0.0,2.5540987012048197,3.179108320481929,0.0,0.14204357349397556,0.23457738795180696,0.0,0.0,0.0,0.0,0.0,0.0
101,3,0.060606060606060615,0.07272727272727272,1.4502753250946514,1.3617237469823888,3,3,1,0,3,0,0,1,0,0,0,0,1,6,1,0,2,1,0,0,0,0,0,0,0.0,0,1,0.6009166764602186,0.3990833235397814,0.0,4.57217680481928,0.907990257831325,1.0980836891566264,0.0,0.5344083108433733,0.0,0.0,0.0314703469879517,0.0,0.0,0.0,0.0,0.0,0.16454695662650606,3.7125119349397586,0.23318003855421665,0.0,1.4761348120481914,0.1756555228915665,0.0,0.0,0.0,0.0,0.0,0.0
102,3,0.04848484848484847,0.05858585858585858,1.5731571150144126,1.3805071036008092,0,0,0,0,2,1,1,5,1,0,1,0,2,7,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,1.8557585349397603,2.1436666554216877,0.388592739759036,1.7677140939759028,0.1142496867469882,0.0,0.21256811566265088,0.0,0.0,1.249235118072289,14.431592544578308,0.0,0.0,0.26197703855421706,0.0,0.0,0.0,0.0,1.6571707662650608,0.0,0.0
103,6,0.09292929292929292,0.07474747474747474,1.9610421256415862,2.135521981512314,0,0,0,0,0,0,0,1,3,0,3,4,0,4,0,0,1,4,0,1,0,1,0,0,0.0,1,0,0.6018594220841412,0.3981405779158588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10792538313253014,1.4799765397590363,0.0,0.7597814674698791,3.3252394987951814,0.0,0.0,3.2946274915662666,0.0,0.0,3.654264693975903,5.309254908433736,0.0,1.0427809807228918,0.0,0.9320737518072296,0.0,0.0
104,3,0.09292929292929294,0.09898989898989898,1.9297652061964534,1.9380237731729322,0,0,0,0,0,0,0,1,3,0,3,4,0,1,0,0,1,1,0,1,2,0,2,3,0.0,0,1,0.4040707759916734,0.5959292240083266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6591423325301206,2.788009040963855,0.0,1.1813667108433732,3.7322412939759033,0.0,0.0,0.14826928915662638,0.0,0.0,0.6123278024096389,0.31134770602409667,0.0,0.6672016626506025,2.2723003228915664,0.0,1.980466221686748,2.3534622578313247
